package,version,build
language-data,1.2.0,pyhd8ed1ab_0
laspy,2.5.4,py310h3bcd3f7_0
lazrs-python,0.6.0,py310h87d50f1_0
lazy_loader,0.4,pyhd8ed1ab_0
lcms2,2.14,h90d422f_0
leafmap,0.33.6,pyhd8ed1ab_0
leather,0.3.4,pyhd8ed1ab_0
lerc,4.0.0,h63175ca_0
libabseil,20230125.3,cxx17_h63175ca_0
libaec,1.1.3,h63175ca_0
libarchive,3.6.2,h6f8411a_1
libarrow,12.0.1,h12e5d06_5_cpu
libasprintf-devel,0.22.5,h5728263_2
libasprintf,0.22.5,h5728263_2
libavif,0.11.1,ha7b97ba_2
libblas,3.9.0,12_win64_mkl
libbrotlicommon,1.0.9,hcfcfb64_9
libbrotlidec,1.0.9,hcfcfb64_9
libbrotlienc,1.0.9,hcfcfb64_9
libbson,1.23.2,h63175ca_0
libcblas,3.9.0,12_win64_mkl
libclang,15.0.7,default_h3a3e6c3_5
libclang13,15.0.7,default_hf64faad_5
libcrc32c,1.1.2,h0e60522_0
libcurl,8.1.2,h68f0423_0
libdeflate,1.14,hcfcfb64_0
libevent,2.1.12,h3671451_1
libexpat,2.6.2,h63175ca_0
libffi,3.4.2,h8ffe710_5
libflac,1.4.3,h63175ca_0
libgd,2.3.3,h891f43f_3
libgdal,3.5.2,h2477998_4
libgettextpo-devel,0.22.5,h5728263_2
libgettextpo,0.22.5,h5728263_2
libglib,2.80.2,h0df6a38_0
libgoogle-cloud,2.12.0,h00b2bdc_1
libgrpc,1.54.3,ha177ca7_0
libhwloc,2.10.0,default_h8125262_1001
libiconv,1.17,hcfcfb64_2
libintl-devel,0.22.5,h5728263_2
libintl,0.22.5,h5728263_2
libjpeg-turbo,2.1.4,hcfcfb64_0
libkml,1.3.0,hd45a9bc_1016
liblapack,3.9.0,12_win64_mkl
liblapacke,3.9.0,12_win64_mkl
libmamba,1.4.9,ha24f096_0
libmambapy,1.4.9,py310h3fe4c2e_0
libnetcdf,4.8.1,nompi_h8c042bf_106
libogg,1.3.4,h8ffe710_1
libopencv,4.6.0,py310hb1fdf93_4
libopus,1.3.1,h8ffe710_1
libpng,1.6.43,h19919ed_0
libpq,14.5,ha9684e8_6
libprotobuf,3.21.12,h12be248_2
libpysal,4.7.0,pyhd8ed1ab_0
librttopo,1.1.0,h2842628_11
libsndfile,1.2.2,h81429f1_1
libsodium,1.0.18,h8d14728_1
libsolv,0.7.29,h0ea2cb4_0
libspatialindex,2.0.0,h5a68840_0
libspatialite,5.0.1,hd9530bf_19
libsqlite,3.46.0,h2466b09_0
libssh2,1.11.0,h7dfc565_0
libtheora,1.1.1,h8d14728_1005
libthrift,0.18.1,h06f6336_2
libtiff,4.4.0,hc4f729c_5
libutf8proc,2.8.0,h82a8f57_0
libuv,1.48.0,hcfcfb64_0
libvorbis,1.3.7,h0e60522_0
libwebp-base,1.4.0,hcfcfb64_0
libwebp,1.4.0,h2466b09_0
libxcb,1.13,hcd874cb_1004
libxgboost,2.0.3,cpu_hb3f76d0_4
libxml2,2.12.7,h283a6d9_1
libxslt,1.1.39,h3df6e99_0
libzip,1.10.1,h1d365fa_3
libzlib,1.2.13,h2466b09_6
libzopfli,1.0.3,h0e60522_0
lidar,0.7.1,pyhd8ed1ab_0
linkify-it-py,2.0.3,pyhd8ed1ab_0
littleutils,0.2.2,py_0
llvm-openmp,18.1.8,hc790b64_0
llvmlite,0.42.0,py310hb84602e_1
locket,1.0.0,pyhd8ed1ab_0
loguru,0.7.2,py310h5588dad_1
logzero,1.7.0,py310h5588dad_5
lxml,5.2.2,py310hdccf185_0
lz4-c,1.9.4,hcfcfb64_0
lz4,4.3.3,py310hbbb2075_0
lzo,2.10,hcfcfb64_1001
m2w64-gcc-libgfortran,5.3.0,6
m2w64-gcc-libs-core,5.3.0,7
m2w64-gcc-libs,5.3.0,7
m2w64-gmp,6.1.0,2
m2w64-libwinpthread-git,5.0.0.4634.697f757,2
mako,1.3.5,pyhd8ed1ab_0
mamba,1.4.9,py310hd9d798f_0
mapclassify,2.6.1,pyhd8ed1ab_0
marisa-trie,1.1.0,py310h00ffb61_1
markdown-it-py,3.0.0,pyhd8ed1ab_0
markdown,3.6,pyhd8ed1ab_0
markupsafe,2.1.5,py310h8d17308_0
marshmallow,3.21.3,pyhd8ed1ab_0
matplotlib-base,3.8.4,py310hadb10a8_2
matplotlib-inline,0.1.7,pyhd8ed1ab_0
matplotlib-scalebar,0.8.1,pyhd8ed1ab_0
matplotlib,3.8.4,py310h5588dad_2
mdit-py-plugins,0.4.1,pyhd8ed1ab_0
mdurl,0.1.2,pyhd8ed1ab_0
mechanicalsoup,1.2.0,pyhd8ed1ab_0
menuinst,1.4.20,py310h00ffb61_0
mercantile,1.2.1,pyhd8ed1ab_0
mesa-viz-tornado,0.1.3,pyhd8ed1ab_0
mesa,2.3.0,pyhd8ed1ab_0
mgwr,2.2.1,pyhd8ed1ab_0
miniforge_console_shortcut,2.0,h57928b3_1
mistune,3.0.2,pyhd8ed1ab_0
mizani,0.11.4,pyhd8ed1ab_0
mkl-devel,2021.4.0,h57928b3_730
mkl-include,2021.4.0,h0e2418a_729
mkl,2021.4.0,h0e2418a_729
modin-core,0.26.1,py310h5588dad_1
modin-dask,0.26.1,py310h5588dad_1
modin,0.26.1,py310h5588dad_1
momepy,0.6.0,pyhd8ed1ab_0
